Area,Mean,Lower CI,Upper CI
Isle of Anglesey,5.454834961,5.165404639,5.744265283
Gwynedd,5.98610145,5.578862934,6.393339966
Conwy,6.223157933,5.8422728,6.604043066
Denbighshire,6.079965775,5.749432394,6.410499156
Flintshire,6.495488713,6.184401759,6.806575667
Wrexham,6.356512639,6.084493939,6.628531339
Powys,5.479736245,5.128329834,5.831142656
Ceredigion,5.241485901,4.930023924,5.552947878
Pembrokeshire,5.485010245,5.08946226,5.88055823
Carmarthenshire,5.340595601,5.026533882,5.65465732
Swansea,5.848680998,5.470144001,6.227217996
Neath Port Talbot,5.472667283,5.099031465,5.846303101
Bridgend,5.481482388,5.100469404,5.862495372
Vale of Glamorgan,5.437465826,5.133634843,5.741296809
Cardiff,6.134272146,5.80080932,6.467734972
Rhondda Cynon Taf,5.702286561,5.411711196,5.992861925
Merthyr Tydfil,6.079222945,5.765995067,6.392450822
Caerphilly,6.234002765,5.947593595,6.520411934
Blaenau Gwent,6.218541061,5.942758476,6.494323646
Torfaen,6.480834797,6.083346411,6.878323182
Monmouthshire,5.944389212,5.668292938,6.220485486
Newport,5.894067095,5.578882252,6.209251937
Total,5.883311625,5.803288588,5.963334662
